Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_141,VGND,li1,71.0700,76.1600,0.000022
FILLER_24_137,VGND,li1,69.2300,76.1600,0.000021
FILLER_24_134,VGND,li1,67.8500,76.1600,0.000020
FILLER_24_131,VGND,li1,66.4700,76.1600,0.000020
FILLER_24_128,VGND,li1,65.0900,76.1600,0.000019
FILLER_24_125,VGND,li1,63.7100,76.1600,0.000019
FILLER_24_122,VGND,li1,62.3300,76.1600,0.000018
FILLER_24_116,VGND,li1,59.5700,76.1600,0.000017
FILLER_24_113,VGND,li1,58.1900,76.1600,0.000017
FILLER_24_109,VGND,li1,56.3500,76.1600,0.000016
FILLER_24_106,VGND,li1,54.9700,76.1600,0.000016
FILLER_24_103,VGND,li1,53.5900,76.1600,0.000015
FILLER_24_100,VGND,li1,52.2100,76.1600,0.000015
FILLER_24_97,VGND,li1,50.8300,76.1600,0.000014
FILLER_24_94,VGND,li1,49.4500,76.1600,0.000013
FILLER_24_91,VGND,li1,48.0700,76.1600,0.000013
FILLER_24_88,VGND,li1,46.6900,76.1600,0.000012
FILLER_24_85,VGND,li1,45.3100,76.1600,0.000012
FILLER_24_81,VGND,li1,43.4700,76.1600,0.000011
FILLER_24_78,VGND,li1,42.0900,76.1600,0.000011
FILLER_24_75,VGND,li1,40.7100,76.1600,0.000010
FILLER_24_72,VGND,li1,39.3300,76.1600,0.000010
FILLER_24_69,VGND,li1,37.9500,76.1600,0.000009
FILLER_24_66,VGND,li1,36.5700,76.1600,0.000009
FILLER_24_63,VGND,li1,35.1900,76.1600,0.000008
FILLER_24_60,VGND,li1,33.8100,76.1600,0.000008
FILLER_24_57,VGND,li1,32.4300,76.1600,0.000007
FILLER_24_53,VGND,li1,30.5900,76.1600,0.000006
FILLER_24_50,VGND,li1,29.2100,76.1600,0.000006
FILLER_24_47,VGND,li1,27.8300,76.1600,0.000006
FILLER_24_44,VGND,li1,26.4500,76.1600,0.000005
FILLER_24_41,VGND,li1,25.0700,76.1600,0.000004
FILLER_24_38,VGND,li1,23.6900,76.1600,0.000004
FILLER_24_35,VGND,li1,22.3100,76.1600,0.000004
FILLER_24_32,VGND,li1,20.9300,76.1600,0.000004
FILLER_24_29,VGND,li1,19.5500,76.1600,0.000004
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000004
FILLER_24_24,VGND,li1,17.2500,76.1600,0.000004
FILLER_24_21,VGND,li1,15.8700,76.1600,0.000004
FILLER_24_18,VGND,li1,14.4900,76.1600,0.000004
FILLER_24_15,VGND,li1,13.1100,76.1600,0.000004
FILLER_24_12,VGND,li1,11.7300,76.1600,0.000004
FILLER_24_9,VGND,li1,10.3500,76.1600,0.000004
FILLER_24_6,VGND,li1,8.9700,76.1600,0.000004
FILLER_23_146,VGND,li1,72.9100,76.1600,0.000022
FILLER_23_143,VGND,li1,71.9900,76.1600,0.000022
FILLER_23_140,VGND,li1,70.6100,76.1600,0.000021
FILLER_23_137,VGND,li1,69.2300,76.1600,0.000021
FILLER_23_134,VGND,li1,67.8500,76.1600,0.000020
FILLER_23_131,VGND,li1,66.4700,76.1600,0.000020
FILLER_23_128,VGND,li1,65.0900,76.1600,0.000019
FILLER_23_125,VGND,li1,63.7100,76.1600,0.000019
