Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_79,VGND,li1,42.0900,59.8400,0.000025
FILLER_17_72,VGND,li1,38.8700,59.8400,0.000022
FILLER_17_69,VGND,li1,37.9500,59.8400,0.000022
FILLER_17_57,VGND,li1,32.2000,59.8400,0.000016
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000016
FILLER_17_50,VGND,li1,29.2100,59.8400,0.000013
FILLER_17_47,VGND,li1,27.8300,59.8400,0.000013
FILLER_17_44,VGND,li1,26.4500,59.8400,0.000011
FILLER_17_41,VGND,li1,25.0700,59.8400,0.000011
FILLER_17_38,VGND,li1,23.6900,59.8400,0.000011
FILLER_17_35,VGND,li1,22.3100,59.8400,0.000011
FILLER_17_32,VGND,li1,20.9300,59.8400,0.000011
FILLER_17_29,VGND,li1,19.5500,59.8400,0.000011
FILLER_17_27,VGND,li1,18.1700,59.8400,0.000012
FILLER_16_73,VGND,li1,39.7900,54.4000,0.000032
FILLER_16_45,VGND,li1,26.6800,54.4000,0.000020
FILLER_16_38,VGND,li1,23.4600,54.4000,0.000018
FILLER_16_35,VGND,li1,22.3100,54.4000,0.000020
FILLER_16_32,VGND,li1,20.9300,54.4000,0.000020
FILLER_16_29,VGND,li1,19.5500,54.4000,0.000022
FILLER_16_6,VGND,li1,8.7400,54.4000,0.000023
FILLER_15_55,VGND,li1,31.0500,54.4000,0.000025
FILLER_15_40,VGND,li1,24.1500,54.4000,0.000018
FILLER_15_9,VGND,li1,10.3500,54.4000,0.000023
FILLER_14_49,VGND,li1,28.5200,48.9600,0.000030
FILLER_14_12,VGND,li1,11.7300,48.9600,0.000024
FILLER_14_9,VGND,li1,10.3500,48.9600,0.000024
FILLER_14_6,VGND,li1,8.9700,48.9600,0.000024
FILLER_14_3,VGND,li1,7.5900,48.9600,0.000024
FILLER_13_60,VGND,li1,33.5800,48.9600,0.000038
FILLER_13_57,VGND,li1,32.4300,48.9600,0.000034
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000034
FILLER_13_32,VGND,li1,20.7000,48.9600,0.000022
FILLER_13_26,VGND,li1,18.1700,48.9600,0.000023
FILLER_13_23,VGND,li1,16.7900,48.9600,0.000023
FILLER_12_98,VGND,li1,51.0600,43.5200,0.000006
FILLER_12_88,VGND,li1,46.4600,43.5200,0.000006
FILLER_12_44,VGND,li1,25.9900,43.5200,0.000003
FILLER_12_41,VGND,li1,25.0700,43.5200,0.000003
FILLER_12_38,VGND,li1,23.6900,43.5200,0.000003
FILLER_12_35,VGND,li1,22.3100,43.5200,0.000003
FILLER_12_32,VGND,li1,20.9300,43.5200,0.000003
FILLER_12_29,VGND,li1,19.5500,43.5200,0.000004
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000004
FILLER_12_24,VGND,li1,17.2500,43.5200,0.000004
FILLER_12_14,VGND,li1,12.1900,43.5200,0.000004
FILLER_12_6,VGND,li1,8.9700,43.5200,0.000004
FILLER_11_84,VGND,li1,44.3900,43.5200,0.000006
FILLER_11_23,VGND,li1,16.7900,43.5200,0.000004
FILLER_11_20,VGND,li1,15.4100,43.5200,0.000004
FILLER_11_17,VGND,li1,14.0300,43.5200,0.000004
FILLER_11_14,VGND,li1,12.6500,43.5200,0.000004
FILLER_11_6,VGND,li1,8.9700,43.5200,0.000004
FILLER_11_3,VGND,li1,7.5900,43.5200,0.000004
FILLER_10_85,VGND,li1,45.0800,38.0800,0.000024
FILLER_10_83,VGND,li1,43.9300,38.0800,0.000023
FILLER_10_50,VGND,li1,28.7500,38.0800,0.000017
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000015
FILLER_10_23,VGND,li1,16.7900,38.0800,0.000015
FILLER_9_106,VGND,li1,54.7400,38.0800,0.000024
FILLER_9_91,VGND,li1,47.8400,38.0800,0.000024
FILLER_9_88,VGND,li1,46.6900,38.0800,0.000024
FILLER_9_76,VGND,li1,40.9400,38.0800,0.000023
FILLER_9_64,VGND,li1,35.1900,38.0800,0.000022
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000020
FILLER_9_41,VGND,li1,24.8400,38.0800,0.000013
FILLER_9_33,VGND,li1,21.1600,38.0800,0.000014
FILLER_9_30,VGND,li1,20.0100,38.0800,0.000014
FILLER_9_27,VGND,li1,18.6300,38.0800,0.000014
FILLER_9_24,VGND,li1,17.2500,38.0800,0.000015
FILLER_9_12,VGND,li1,11.7300,38.0800,0.000015
FILLER_9_9,VGND,li1,10.3500,38.0800,0.000015
FILLER_9_6,VGND,li1,8.9700,38.0800,0.000015
FILLER_8_82,VGND,li1,43.7000,32.6400,0.000020
FILLER_8_32,VGND,li1,20.7000,32.6400,0.000012
FILLER_8_29,VGND,li1,19.5500,32.6400,0.000012
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000012
FILLER_8_23,VGND,li1,16.7900,32.6400,0.000012
FILLER_7_102,VGND,li1,53.1300,32.6400,0.000021
FILLER_7_99,VGND,li1,51.7500,32.6400,0.000021
FILLER_7_57,VGND,li1,31.9700,32.6400,0.000016
FILLER_7_46,VGND,li1,27.3700,32.6400,0.000013
FILLER_7_23,VGND,li1,16.5600,32.6400,0.000012
FILLER_7_6,VGND,li1,8.9700,32.6400,0.000013
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000013
FILLER_6_104,VGND,li1,53.5900,27.2000,0.000041
FILLER_6_101,VGND,li1,52.6700,27.2000,0.000040
FILLER_6_98,VGND,li1,51.2900,27.2000,0.000040
FILLER_6_32,VGND,li1,20.7000,27.2000,0.000024
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000024
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000024
FILLER_6_22,VGND,li1,16.3300,27.2000,0.000024
FILLER_6_19,VGND,li1,14.9500,27.2000,0.000025
FILLER_6_16,VGND,li1,13.5700,27.2000,0.000025
FILLER_6_9,VGND,li1,9.8900,27.2000,0.000025
FILLER_6_6,VGND,li1,8.9700,27.2000,0.000025
FILLER_5_107,VGND,li1,54.9700,27.2000,0.000041
FILLER_5_60,VGND,li1,33.8100,27.2000,0.000028
FILLER_5_57,VGND,li1,32.4300,27.2000,0.000025
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000025
FILLER_5_48,VGND,li1,28.2900,27.2000,0.000023
FILLER_4_85,VGND,li1,45.0800,21.7600,0.000011
FILLER_4_74,VGND,li1,40.0200,21.7600,0.000010
FILLER_4_69,VGND,li1,37.4900,21.7600,0.000009
FILLER_4_66,VGND,li1,36.5700,21.7600,0.000009
FILLER_4_63,VGND,li1,35.1900,21.7600,0.000009
FILLER_4_60,VGND,li1,33.8100,21.7600,0.000008
FILLER_4_56,VGND,li1,31.5100,21.7600,0.000008
FILLER_4_53,VGND,li1,30.5900,21.7600,0.000007
FILLER_4_42,VGND,li1,25.0700,21.7600,0.000006
FILLER_4_39,VGND,li1,24.1500,21.7600,0.000006
FILLER_4_36,VGND,li1,22.7700,21.7600,0.000006
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000007
FILLER_4_24,VGND,li1,17.2500,21.7600,0.000007
FILLER_4_21,VGND,li1,15.8700,21.7600,0.000007
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000007
FILLER_3_103,VGND,li1,53.3600,21.7600,0.000012
FILLER_3_99,VGND,li1,51.2900,21.7600,0.000012
FILLER_3_84,VGND,li1,44.3900,21.7600,0.000011
FILLER_3_76,VGND,li1,40.9400,21.7600,0.000010
FILLER_3_73,VGND,li1,39.7900,21.7600,0.000010
FILLER_3_70,VGND,li1,38.4100,21.7600,0.000009
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000008
FILLER_3_34,VGND,li1,21.3900,21.7600,0.000006
FILLER_3_31,VGND,li1,20.4700,21.7600,0.000006
FILLER_3_28,VGND,li1,19.0900,21.7600,0.000007
FILLER_3_6,VGND,li1,8.5100,21.7600,0.000007
FILLER_2_106,VGND,li1,54.7400,16.3200,0.000014
FILLER_2_78,VGND,li1,41.6300,16.3200,0.000013
FILLER_2_75,VGND,li1,40.7100,16.3200,0.000013
FILLER_2_38,VGND,li1,23.2300,16.3200,0.000008
FILLER_2_35,VGND,li1,22.3100,16.3200,0.000009
FILLER_2_32,VGND,li1,20.9300,16.3200,0.000009
FILLER_2_29,VGND,li1,19.5500,16.3200,0.000009
FILLER_2_15,VGND,li1,12.6500,16.3200,0.000010
FILLER_1_106,VGND,li1,54.7400,16.3200,0.000014
FILLER_1_60,VGND,li1,33.3500,16.3200,0.000011
FILLER_1_7,VGND,li1,9.2000,16.3200,0.000010
FILLER_1_3,VGND,li1,7.1300,16.3200,0.000010
FILLER_0_107,VGND,li1,54.9700,10.8800,0.000007
FILLER_0_85,VGND,li1,44.8500,10.8800,0.000007
FILLER_0_63,VGND,li1,35.1900,10.8800,0.000005
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000005
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000005
FILLER_0_51,VGND,li1,29.2100,10.8800,0.000004
FILLER_0_39,VGND,li1,23.9200,10.8800,0.000004
FILLER_0_3,VGND,li1,7.1300,10.8800,0.000006
