net,length_um
net42,136.56µm
_026_,103.11µm
_000_,102.24µm
net33,94.54µm
_069_,91.82µm
clknet_2_0__leaf_clk_regs,79.9µm
_062_,79.02µm
_059_,77.11µm
clk,75.78µm
net41,67.81µm
clknet_2_2__leaf_clk_regs,66.26µm
clknet_0_clk_regs,64.96µm
net34,63.4µm
state\[0\],62.38µm
net2,60.86µm
net36,59.595µm
net12,59.53µm
net40,58.7µm
net35,57.845µm
clknet_2_3__leaf_clk_regs,51.7µm
_060_,51.54µm
clknet_2_1__leaf_clk_regs,50.26µm
_055_,50.2µm
_031_,48.62µm
net18,48.35µm
state\[3\],46.78µm
net10,45.95µm
net11,45.86µm
_048_,45.66µm
state\[1\],44.31µm
net26,44.14µm
net23,44.07µm
net25,43.04µm
net17,42.92µm
_030_,42.22µm
net15,41.01µm
_066_,38.92µm
net6,37.79µm
_061_,37.54µm
_067_,36.16µm
_034_,35.96µm
state\[2\],34.38µm
_054_,34.35µm
net5,31.8µm
net37,30.705µm
net31,29.48µm
net38,29.245µm
_063_,26.5µm
_046_,26.35µm
_033_,23.76µm
_049_,22.26µm
_050_,21.54µm
net30,21.42µm
net16,21.39µm
net22,21.23µm
_051_,19.06µm
net1,18.275µm
net8,18.25µm
net20,18.01µm
net13,16.67µm
net28,16.34µm
net4,16.17µm
net7,15.51µm
_057_,14.8µm
net14,14.11µm
dac_n[7],13.06µm
:61.Y\[3\],12.725µm
net29,12.24µm
net24,12.18µm
net21,11.95µm
_053_,11.58µm
net27,11.44µm
_047_,11.29µm
dout[0],10.73µm
clknet_0_clk,10.54µm
dac_p[0],10.34µm
rst_n,10.32µm
_021_,10.24µm
clknet_1_0__leaf_clk,10.24µm
out_comp_p,10.07µm
dac_p[5],9.88µm
dout[5],8.93µm
net9,8.59µm
_024_,8.52µm
_011_,8.1µm
:61.Y\[0\],8.08µm
dac_n[0],8.04µm
dac_n[1],8.04µm
dac_n[2],8.04µm
dac_n[3],8.04µm
dac_n[4],8.04µm
dac_n[5],8.04µm
dac_n[6],8.04µm
dac_p[1],8.04µm
dac_p[2],8.04µm
dac_p[3],8.04µm
dac_p[4],8.04µm
dac_p[6],8.04µm
dac_p[7],8.04µm
dout[6],8.01µm
dout[7],8.01µm
_065_,7.98µm
_044_,7.86µm
net45,7.76µm
net39,7.75µm
eoc,7.35µm
net19,7.29µm
_070_,7.18µm
_056_,7.06µm
net47,7.06µm
net51,7.06µm
net3,6.94µm
net44,6.815µm
clk_comp,5.97µm
_015_,5.92µm
_028_,5.92µm
_040_,5.86µm
_009_,5.8µm
_006_,5.7µm
_032_,5.68µm
dout[4],5.63µm
phi_sample,5.63µm
dout[1],5.29µm
dout[2],5.29µm
dout[3],5.29µm
phi_sample_n,5.29µm
_013_,5.28µm
_020_,5.26µm
_001_,5.04µm
_018_,4.92µm
clk_regs,4.8µm
_019_,4.42µm
_010_,4.34µm
net32,4.34µm
net50,4.02µm
_017_,3.88µm
_037_,3.88µm
net48,3.88µm
_003_,3.84µm
_002_,3.76µm
_022_,3.54µm
_071_,3.42µm
_008_,3.2µm
_007_,3.08µm
_012_,3.08µm
_023_,3.08µm
_038_,2.96µm
_052_,2.76µm
_004_,2.74µm
net43,2.64µm
:61.Y\[2\],2.62µm
_036_,2.52µm
_043_,2.5µm
_014_,2.3µm
_064_,2.3µm
:61.Y\[1\],2.16µm
_005_,2.16µm
_016_,2.16µm
_025_,2.16µm
_058_,2.16µm
_027_,2.06µm
_029_,2.06µm
net46,1.82µm
_041_,1.38µm
_068_,1.38µm
net49,1.38µm
_035_,1.36µm
_039_,0.92µm
_042_,0.8µm
_045_,0.8µm
