                                Constant values
                                constants  Tue Jul 29 08:21:22 UTC 2025
--------------------------------------------------------------------------------
Index   results         
--------------------------------------------------------------------------------
0	-8.24200e-03	
1	7.580000e-04	
2	1.757500e-03	
3	2.258300e-03	
4	1.758200e-03	
5	-8.74210e-03	
6	-4.74070e-03	
7	6.757700e-03	
8	-4.74260e-03	
9	6.257300e-03	
10	-2.42800e-04	
11	-8.24150e-03	
12	-1.17417e-02	
13	6.257900e-03	
14	2.257300e-03	
15	1.276560e-02	
16	2.573000e-04	
17	8.257300e-03	
18	-2.24220e-03	
19	-4.74240e-03	
20	-2.47433e-02	
21	-9.24260e-03	
22	-1.24210e-03	
23	1.325700e-02	
24	1.258200e-03	
25	1.257600e-03	
26	-7.74140e-03	
27	7.757200e-03	
28	-2.74190e-03	
29	-1.27426e-02	
30	7.757500e-03	
31	-7.74220e-03	
32	5.257100e-03	
33	1.125700e-02	
34	-1.24250e-03	
35	-1.74210e-03	
36	3.258000e-03	
37	3.257300e-03	
38	-4.24170e-03	
39	6.257200e-03	
40	7.569000e-04	
41	-1.07424e-02	
42	-1.17425e-02	
43	3.757100e-03	
44	7.257500e-03	
45	6.757900e-03	
46	-7.42100e-04	
47	-2.42600e-04	
48	-2.24270e-03	
49	2.257900e-03	
50	4.757200e-03	
51	-3.24260e-03	
52	3.257400e-03	
53	-4.74240e-03	
54	6.757300e-03	

Index   results         
--------------------------------------------------------------------------------
55	-9.24260e-03	
56	-1.24230e-03	
57	1.258000e-03	
58	2.757600e-03	
59	-4.74240e-03	
60	-7.24190e-03	
61	-6.74190e-03	
62	-3.24010e-03	
63	-1.24170e-03	
64	-7.42800e-04	
65	-8.74260e-03	
66	1.725730e-02	
67	-8.74190e-03	
68	2.577000e-04	
69	2.025680e-02	
70	-5.24230e-03	
71	-1.27413e-02	
72	1.257500e-03	
73	1.125820e-02	
74	-8.74250e-03	
75	-6.74250e-03	
76	5.757200e-03	
77	1.257900e-03	
78	-1.37425e-02	
79	-3.24230e-03	
80	2.757400e-03	
81	7.757400e-03	
82	-7.74270e-03	
83	1.258400e-03	
84	-1.37421e-02	
85	-1.24200e-03	
86	-7.24190e-03	
87	-1.62405e-02	
88	5.257900e-03	
89	1.757700e-03	
90	3.757700e-03	
91	5.757200e-03	
92	-6.74240e-03	
93	-7.42200e-04	
94	-4.74270e-03	
95	-1.24240e-03	
96	-7.42400e-04	
97	-5.24230e-03	
98	-7.42000e-04	
99	-8.24200e-03	
100	-3.24090e-03	
101	-7.42500e-04	
102	-9.74190e-03	
103	7.574000e-04	
104	7.256600e-03	
105	1.757500e-03	
106	8.757200e-03	
107	-3.74170e-03	
108	-8.74240e-03	
109	-6.24220e-03	
110	8.257800e-03	
111	-1.74230e-03	
112	-1.24190e-03	

Index   results         
--------------------------------------------------------------------------------
113	-3.24230e-03	
114	1.125830e-02	
115	-1.32425e-02	
116	-9.24150e-03	
117	-7.42700e-04	
118	2.757500e-03	
119	2.257800e-03	
120	1.757800e-03	
121	2.577000e-04	
122	-7.42400e-04	
123	-1.74270e-03	
124	1.475700e-02	
125	4.257500e-03	
126	5.257700e-03	
127	-1.74240e-03	
128	7.577000e-04	
129	2.757200e-03	
130	8.257900e-03	
131	-1.24230e-03	
132	-1.74280e-03	
133	2.500000e-02	
134	-3.74130e-03	
135	7.575000e-04	
136	-1.62419e-02	
137	-2.74150e-03	
138	5.757900e-03	
139	-3.24270e-03	
140	4.758000e-03	
141	3.257200e-03	
142	-2.24230e-03	
143	-5.24230e-03	
144	-1.37394e-02	
145	-2.24260e-03	
146	6.757300e-03	
147	9.257300e-03	
148	-1.77421e-02	
149	-7.42200e-04	
150	-1.74220e-03	
151	-2.42300e-04	
152	-1.42426e-02	
153	2.257400e-03	
154	1.125710e-02	
155	2.758700e-03	
156	-3.24250e-03	
157	-9.24270e-03	
158	3.757400e-03	
159	-4.24250e-03	
160	2.757800e-03	
161	-1.24220e-03	
162	-9.74230e-03	
163	-5.24280e-03	
164	-1.27423e-02	
165	-8.24150e-03	
166	2.576000e-04	
167	3.258000e-03	
168	-7.41900e-04	
169	-3.24240e-03	
170	3.758100e-03	

Index   results         
--------------------------------------------------------------------------------
171	1.125760e-02	
172	8.257400e-03	
173	7.257100e-03	
174	1.757800e-03	
175	-2.42600e-04	
176	-1.24270e-03	
177	-7.24270e-03	
178	1.175800e-02	
179	-7.74160e-03	
180	2.578000e-04	
181	7.256900e-03	
182	-9.73880e-03	
183	-9.24260e-03	
184	-6.24190e-03	
185	-1.24220e-03	
186	5.257500e-03	
187	-2.24150e-03	
188	-4.74190e-03	
189	-7.24160e-03	
190	2.576000e-04	
191	-1.24230e-03	
192	4.757400e-03	
193	-1.42414e-02	
194	-1.22418e-02	
195	-1.02393e-02	
196	1.275700e-02	
197	-8.74230e-03	
198	-3.74230e-03	
199	-5.24120e-03	
200	7.579000e-04	
201	-3.24220e-03	
202	-2.42400e-04	
203	7.571000e-04	
204	9.758500e-03	
205	-1.24260e-03	
206	-9.74160e-03	
207	2.757300e-03	
208	-1.12423e-02	
209	2.588000e-04	
210	6.757900e-03	
211	5.257300e-03	
212	2.257700e-03	
213	3.757400e-03	
214	6.257400e-03	
215	1.175700e-02	
216	-8.74230e-03	
217	-1.12413e-02	
218	-4.24210e-03	
219	2.757100e-03	
220	1.725720e-02	
221	5.759300e-03	
222	-5.74240e-03	
223	6.257400e-03	
224	-2.42500e-04	
225	-5.74200e-03	
226	-2.24260e-03	
227	-4.24220e-03	
228	8.758500e-03	

Index   results         
--------------------------------------------------------------------------------
229	-6.24220e-03	
230	1.175700e-02	
231	3.757600e-03	
232	-1.97411e-02	
233	1.125690e-02	
234	2.757100e-03	
235	1.757400e-03	
236	9.757200e-03	
237	-1.12423e-02	
238	-7.42800e-04	
239	2.757600e-03	
240	-1.07421e-02	
241	-1.07423e-02	
242	5.757700e-03	
243	-4.24260e-03	
244	4.257500e-03	
245	-2.42700e-04	
246	-4.24250e-03	
247	1.757300e-03	
248	1.475810e-02	
249	-4.74200e-03	
250	4.757800e-03	
251	-3.74230e-03	
252	2.757300e-03	
253	-2.74260e-03	
254	-2.24210e-03	
255	3.759100e-03	
256	-1.17419e-02	
257	-6.74280e-03	
