net,length_um
_000_,96.18µm
_026_,96.13µm
_069_,90.02µm
clknet_2_0__leaf_clk_regs,77.94µm
net52,68.23µm
net45,68.16µm
_059_,68.08µm
net46,67.62µm
clk,66.62µm
state\[0\],66.315µm
clknet_2_1__leaf_clk_regs,64.8µm
net33,64.4µm
_062_,61.6µm
clknet_0_clk_regs,60.22µm
net1,59.38µm
net31,57.58µm
net13,57.07µm
_060_,54.14µm
state\[2\],53.16µm
net32,49.59µm
state\[1\],48.76µm
net49,48.38µm
net21,46.54µm
_048_,45.88µm
_030_,40.26µm
_031_,38.16µm
net19,38.13µm
clknet_2_2__leaf_clk_regs,36.98µm
net47,36.5µm
net50,35.25µm
_067_,34.66µm
net48,34.525µm
_034_,33.74µm
state\[3\],33.08µm
net4,33.05µm
_054_,32.7µm
net22,31.9µm
net12,30.15µm
net26,30.08µm
net29,30.005µm
net14,29.65µm
_033_,29.56µm
_061_,28.8µm
_049_,28.26µm
_055_,27.8µm
clknet_2_3__leaf_clk_regs,27.72µm
net30,26.03µm
dac_n[7],25.32µm
out_comp_p,24.11µm
phi_sample_n,21.39µm
_057_,20.98µm
dout[0],20.97µm
net10,20.77µm
eoc,20.51µm
_063_,20.3µm
_066_,19.82µm
dac_p[0],19.44µm
dac_p[3],17.14µm
_051_,17.04µm
clk_comp,16.99µm
net51,16.79µm
net20,16.62µm
_056_,16.24µm
dac_n[5],16.2µm
dac_n[4],16.16µm
dac_n[6],15.74µm
rst_n,15.42µm
_050_,15.18µm
net5,14.99µm
net18,14.79µm
dac_p[2],13.48µm
net2,13.38µm
_043_,13.1µm
_053_,12.68µm
_044_,12.18µm
_047_,12.17µm
_046_,12.1µm
_003_,11.78µm
dac_p[1],11.68µm
net23,11.66µm
_039_,11.32µm
net3,10.92µm
net37,10.62µm
net8,10.47µm
net41,10.32µm
net25,10.2µm
net17,9.97µm
phi_sample,9.91µm
dac_p[6],9.88µm
net24,9.86µm
_032_,9.54µm
clknet_1_0__leaf_clk,9.48µm
_005_,9.44µm
dout[1],9.37µm
_024_,9.24µm
_018_,8.98µm
dac_n[2],8.96µm
net7,8.6µm
_017_,8.44µm
net15,8.21µm
_008_,8.1µm
_014_,8.1µm
dac_n[0],8.04µm
dac_n[1],8.04µm
dac_p[5],8.04µm
dac_p[7],8.04µm
_052_,7.74µm
_023_,7.62µm
dac_n[3],7.58µm
dac_p[4],7.58µm
_070_,7.52µm
_027_,7.38µm
_040_,7.38µm
net9,7.33µm
dout[7],7.33µm
_007_,7.18µm
_002_,7.14µm
_021_,6.76µm
net28,6.72µm
net38,6.72µm
net16,6.63µm
_065_,6.62µm
_071_,6.6µm
net11,6.35µm
net6,6.29µm
:61.Y\[2\],5.92µm
net27,5.6µm
_015_,5.46µm
_028_,5.36µm
dout[5],5.29µm
_016_,5.26µm
_058_,4.94µm
_009_,4.92µm
_011_,4.92µm
_010_,4.88µm
_004_,4.8µm
net34,4.8µm
clk_regs,4.76µm
dout[2],4.61µm
dout[4],4.61µm
dout[6],4.61µm
_037_,4.54µm
:61.Y\[0\],4.46µm
_012_,4.46µm
_064_,4.2µm
_006_,4.12µm
net40,4.1µm
dout[3],3.93µm
_038_,3.66µm
_045_,3.56µm
_001_,3.54µm
_019_,3.54µm
_025_,3.42µm
_041_,3.32µm
:61.Y\[3\],3.225µm
_042_,2.74µm
clknet_0_clk,2.72µm
_020_,2.62µm
_036_,2.52µm
net39,2.18µm
_013_,2.16µm
_022_,2.16µm
_029_,2.06µm
_068_,1.84µm
net43,1.84µm
:61.Y\[1\],1.82µm
net36,1.38µm
net42,1.38µm
_035_,1.26µm
net35,0.92µm
